Module Name,File Path,Executed Statements,Total Statements,Missing Statements,Coverage %,Classification,Classes,Functions,Missing Line Numbers
advisor_events,akaal\advisor\events\advisor_events.py,24,31,7,77.4,NEEDS_IMPROVEMENT,1,9,21;22;27;28;33;49;50
advisor_registry,akaal\advisor\registry\advisor_registry.py,71,85,14,83.5,ACCEPTABLE,2,10,43;44;55;56;67;72;86;90;99;112;133;145;153;161
advisor_platform,akaal\advisor\api\advisor_platform.py,31,36,5,86.1,ACCEPTABLE,1,13,46;51;56;61;81
best_practice_analyzer,akaal\advisor\analyzers\best_practice_analyzer.py,29,33,4,87.9,ACCEPTABLE,1,4,34;85;86;92
aggregation_engine,akaal\advisor\engine\aggregation_engine.py,27,30,3,90.0,GOOD,1,1,41;43;44
advisor_engine,akaal\advisor\engine\advisor_engine.py,56,62,6,90.3,GOOD,1,2,95;96;97;99;150;151
advisor_governance,akaal\advisor\governance\advisor_governance.py,21,23,2,91.3,GOOD,2,3,55;58
advisor_serializer,akaal\advisor\serialization\advisor_serializer.py,47,51,4,92.2,GOOD,2,5,36;45;53;54
advisor_validator,akaal\advisor\validation\advisor_validator.py,46,49,3,93.9,GOOD,2,3,41;60;73
advisor_metrics,akaal\advisor\metrics\advisor_metrics.py,42,44,2,95.5,PASS,1,8,43;44
checkpoint_analyzer,akaal\advisor\analyzers\checkpoint_analyzer.py,28,29,1,96.6,PASS,1,4,34
parallelism_analyzer,akaal\advisor\analyzers\parallelism_analyzer.py,28,29,1,96.6,PASS,1,4,34
rollback_analyzer,akaal\advisor\analyzers\rollback_analyzer.py,28,29,1,96.6,PASS,1,4,34
topology_analyzer,akaal\advisor\analyzers\topology_analyzer.py,28,29,1,96.6,PASS,1,4,34
worker_analyzer,akaal\advisor\analyzers\worker_analyzer.py,28,29,1,96.6,PASS,1,4,34
batch_analyzer,akaal\advisor\analyzers\batch_analyzer.py,29,30,1,96.7,PASS,1,4,34
cost_analyzer,akaal\advisor\analyzers\cost_analyzer.py,29,30,1,96.7,PASS,1,4,34
eta_analyzer,akaal\advisor\analyzers\eta_analyzer.py,29,30,1,96.7,PASS,1,4,34
hardware_analyzer,akaal\advisor\analyzers\hardware_analyzer.py,29,30,1,96.7,PASS,1,4,34
resource_analyzer,akaal\advisor\analyzers\resource_analyzer.py,29,30,1,96.7,PASS,1,4,34
__init__,akaal\advisor\__init__.py,4,4,0,100.0,PASS,0,0,
__init__,akaal\advisor\analyzers\__init__.py,13,13,0,100.0,PASS,0,0,
base_analyzer,akaal\advisor\analyzers\base_analyzer.py,10,10,0,100.0,PASS,1,4,
__init__,akaal\advisor\api\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\engine\__init__.py,3,3,0,100.0,PASS,0,0,
__init__,akaal\advisor\events\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\governance\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\metrics\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\models\__init__.py,11,11,0,100.0,PASS,0,0,
advisory_context,akaal\advisor\models\advisory_context.py,16,16,0,100.0,PASS,1,2,
advisory_decision,akaal\advisor\models\advisory_decision.py,16,16,0,100.0,PASS,1,2,
advisory_enums,akaal\advisor\models\advisory_enums.py,32,32,0,100.0,PASS,3,2,
advisory_event,akaal\advisor\models\advisory_event.py,10,10,0,100.0,PASS,1,1,
advisory_evidence,akaal\advisor\models\advisory_evidence.py,15,15,0,100.0,PASS,1,2,
advisory_manifest,akaal\advisor\models\advisory_manifest.py,21,21,0,100.0,PASS,1,2,
advisory_recommendation,akaal\advisor\models\advisory_recommendation.py,32,32,0,100.0,PASS,1,2,
advisory_trace,akaal\advisor\models\advisory_trace.py,14,14,0,100.0,PASS,1,2,
advisory_version,akaal\advisor\models\advisory_version.py,8,8,0,100.0,PASS,1,1,
migration_advisory_model,akaal\advisor\models\migration_advisory_model.py,43,43,0,100.0,PASS,1,5,
__init__,akaal\advisor\registry\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\reporting\__init__.py,2,2,0,100.0,PASS,0,0,
advisor_report_builder,akaal\advisor\reporting\advisor_report_builder.py,21,21,0,100.0,PASS,1,3,
__init__,akaal\advisor\serialization\__init__.py,2,2,0,100.0,PASS,0,0,
__init__,akaal\advisor\validation\__init__.py,2,2,0,100.0,PASS,0,0,
